affirming	denying
algore	skepticscience
oxfamgb	ScienceNotDogma
globalactplan	Carbongate
GreenpeaceUK	Neets2245
WWF_Climate	Co2Green
OneClimate	thegwpfcom
Ed_Miliband	CO2Coalition
CarolineLucas	Action4Life_
DECCgovuk	fredpalmercoal
the_ecologist	NoTricksZone
James_BG	FChecker76
Revkin	caleb_rossiter
ClimateDesk	FriendsofCoalWV
climateprogress	JunkScience
grist	CO2notes
TreeHugger	ClimateSkeptic
kate_sheppard	eloarefab
drvox	adapt2030
bradplumer	JWSpry
simondonner	pplonia
ayanaeliza	ILuvCO2
MaryHeglar	uk_ecology
maanvisings	IceAgeFarmer
ABarnardNYT	msroberts0619
earthinstitute	wattsupwiththat
lisalsong	ThiagoMaia2503
dwallacewells	realDonaldTrump
GretaThunberg	ccdeditor
kzhill	ClimateDepot
J_M_Fitton	Electroversenet
YaleE360	FriendsOScience
guardianeco	ClimatismBlog
Amelia_Womack	ClimateRealists
ClimateHome	Tony__Heller
KarlMathiesen	ChrisMartzWX
PaulEDawson	IceAgeBob
floodsg	UvMeter
Khayhoe	GrandSolarMin
TimesClimate	KnowYourGreen1
DrShepherd2013	seanhannity
EstherNgumbi	Timbooooon
climategeek	StarryPole
coralsncaves	co2_the
NaomiAKlein	grand_solar
JustinHGillis	ClimateHiJinx
SasjaBeslik	caleb_rossiter
PEspinosaC	SylviaD32911201
MikeHudema	ScubaHobbs
LeoDiCaprio	notGHGs
tveitdal	clim8resistance
dpcarrington	globalsugarwar
ErikSolheim	DaveMyFace
Nick_Nuttall	50ShadesGreenNZ
RichardMcLellan	manny_ottawa
EricHolthaus	
cathmckenna	
AndreaLearned	
GeorgeMonbiot	
LeoHickman	
AnnieMLeonard	
johnupton	
billmckibben	
UNFCCC	
CBI_CC	
Fridays4future	
yv4ca	
AdaptOurWorld	
BirthStrike	
ExtinctionR	
gailbradbrook	
CarbonBrief	
DefendOurFuture	
Jamie_Margolin	
